,2.61,0.260,1.05,7.55,0.2
0.280,2.36,1.19,1.66,0.470,0.460
0.370,0.820,3.23,0.120,4.57,1.84
0.110,5.73,3.04,1.04,0.380,0.350
10.750,2.66,2.62,0.290,4.12,0.380
0.210,0.270,0.420,1.07,1.41,0.240
0.950,0.830,1,1,1.35,0.9
0.780,0.870,6.99,3.01,2.34,0.410
0.650,0.8,0.7,0.6,2.38,0.490
0.570,0.280,0.550,0.570,0.2,4.60
2.99,0.420,0.340,2.80,0.360,0.670
2.87,1.41,0.490,0.130,3.18,0.530
4.87,2.72,0.390,1.35,1.52,1.89
0.830,2.09,1,0.390,0.820,1.80
0.830,3.28,1.91,1.13,1.47,1.44
0.590,5.06,1.07,0.4,3.25,0.570
0.140,0.220,0.250,0.640,0.530,1.07
1.67,1.83,0.850,0.150,0.890,2.39
1.86,0.520,0.140,2.94,1.40,0.970
0.690,0.190,0.460,1.39,4.32,1.51
0.8,4,1.90,2.24,2.77,1.31
0.660,0.510,4.52,0.570,4.84,0.820
0.350,0.270,0.780,0.370,0.250,0.720
1.91,1.02,4.32,0.590,1.05,2.35
0.430,0.410,1.67,1.43,0.620,2.64
